NO,NO2,NOx,NH3,CO,SO2
4.36,11.3,9.65,10.61,0.5,7.57
3.8,8.59,7.75,9.78,0.46,6.09
3.03,7.25,6.31,9.48,0.41,6.48
3.72,7.72,7.22,10.79,0.34,5.99
3.63,10.82,8.8,11.18,0.36,11.72
3.17,10.17,8.07,9.85,0.29,6.4
3.17,9.57,7.76,9.97,0.32,9.41
3.27,11.57,8.91,10.06,0.57,4.53
4.29,15.21,11.68,9.62,0.43,9.78
3.36,19.38,13.04,7.89,0.32,6.83
2.6,10.78,7.92,9.02,0.4,7.7
2.67,13.18,9.28,11.27,0.38,7.28
3.37,18.42,12.62,13.99,0.51,6.22
2.93,13.9,9.86,17.3,0.42,5.87
2.8,10.45,7.92,14.89,0.32,6.37
2.33,9.03,6.78,10.79,0.4,5.82
1.9,6.11,4.79,9.14,0.46,7.1
3.95,10.06,8.65,9.74,0.49,5.81
5.5,13.82,11.83,10.29,0.79,6.68
4.85,15.08,11.96,9.72,0.61,6.36
3.83,11.83,9.5,11.4,0.55,8.41
4.62,13.57,11.07,13.41,1.13,8.66
3.08,10.96,8.42,10.54,0.75,5.29
3,8.32,6.95,10.85,0.98,9
3.53,7.85,7.13,10.72,0.46,6.66
4.73,9.13,8.79,9.36,0.84,6.18
4.75,11.31,9.96,10.32,1.02,5.43
3.91,11.7,9.49,11.32,1.01,5.53
3.48,12.39,9.52,12.21,0.81,7.62
3.35,11.42,8.88,11.67,1.05,6.86
3,7.26,6.39,9.25,1,6.14
3.85,7.4,7.15,10.94,0.55,6.76
2.98,8.54,6.96,10.01,0.52,7.12
5.26,10.6,10,11.26,0.57,7.55
5.95,17.41,14.19,11.74,0.61,4.72
4.29,13.66,10.85,13.37,0.38,5.51
3.84,12.76,9.99,12.81,0.41,7.54
3.45,16.64,11.74,15.06,0.51,5.01
4.47,15.53,11.98,13.73,0.52,6.62
5.11,13.96,11.66,10.28,0.4,4.9
5.64,13.23,11.71,10.96,0.41,5.6
5.11,10.72,9.94,11.11,0.33,6.52
6.12,17.63,14.44,13.21,0.63,6.53
2.58,6.82,5.82,11.04,0.37,4.65
2.11,5.31,4.54,9.79,0.46,5.17
3.04,7.43,6.51,9.56,0.37,5.69
3.03,6.81,6.17,10.87,0.36,5.36
2.61,6.37,5.51,10.19,0.39,6.75
7.52,7.16,10.56,16.27,0.64,8.77
2.4,7.74,6.2,13.78,0.16,6.45
3.12,7.5,6.61,15.05,0.4,6.02
2.19,5.01,4.44,12.07,0.31,6.29
3.64,6.56,6.54,11.23,0.3,7.42
4.99,8.7,8.78,13.07,0.44,10.4
4.1,11.13,9.34,14.62,0.47,9.94
4.31,9.81,8.8,11.05,0.42,8.98
5.28,12.77,11.09,12.61,0.5,9.81
5.68,14.95,12.66,14.75,0.69,6.51
2.22,7.8,5.94,14.92,0.38,12.46
7.42,15.94,13.64,15.03,0.47,13.78
5.71,16.26,13.39,15.6,0.47,11.83
7.15,16.25,14.55,14.24,0.62,10.42
4.66,15.45,12.1,16.15,0.55,9.13
3.33,7.75,6.92,16.19,0.57,10.97
10.41,20.1,19.29,18.23,0.49,10.98
5.21,20.63,15.21,18.8,0.44,9.64
9.45,24.83,20.98,18.71,0.54,6.69
9.04,23.91,20.07,21.23,0.47,12.6
4.66,16.41,12.61,18.05,0.34,6.74
6.99,18.33,15.52,20.07,0.43,12.46
10.33,21.95,20.17,21.89,0.5,8.64
4.79,15.65,12.3,19.74,0.38,11.1
1.4,28.8,16.4,35.2,0.95,2.9
5.56,14.87,12.57,16.48,0.42,11.28
7.36,16.89,15.06,16.57,0.8,11.49
6.61,16.05,14,19.69,0.44,9.02
7.08,25.46,19.29,22.11,0.42,12.33
4.4,11.2,9.63,24.46,0.39,9.47
3.71,9.32,8.1,17.43,0.59,10.32
2.78,8.58,6.84,11.88,0.77,8.72
5.01,7.85,8.31,14.27,0.92,8.12
3.99,8.92,8.08,14.63,0.88,8.35
3.13,10.48,8.12,15.07,0.88,8.93
3.77,6.74,6.74,18.92,0.95,8.39
3.02,7.96,6.77,13.6,0.96,11.82
2.71,6.6,5.8,14.61,0.86,9.47
1.36,6.04,4.31,20.04,1.03,8.12
6.49,11.24,10.45,13.4,0.99,10.48
5.81,11.69,11.08,9.62,1.2,9.05
1.7,7.66,5.45,17.12,1.08,8.39
3.08,12.02,8.9,12.88,0.74,8.98
4.78,19.03,14.1,16.38,1.36,9.46
5.2,20.45,15.18,18.52,1.1,10.01
3.3,14.59,10.44,19.91,0.95,10.12
4.73,13.33,11.02,19.26,0.87,9.24
6.66,16.04,14.03,17.73,0.95,9.76
4.52,16.8,12.7,19.88,1.18,8.89
6.68,19.36,15.81,20.7,1.39,9.78
3.56,19.99,13.29,20.42,1.4,11.98
4.63,21.34,15.23,24.55,1.68,11.17
7.16,24.63,18.91,22.37,1.71,11.64
12.19,23.75,22.67,21.76,1.64,11.8
9.81,26.49,22.16,21.11,1.68,11.54
5.45,17.14,13.64,20.62,1.82,12.89
6.01,21.87,16.61,16.71,1.57,11.73
9.49,25.22,21.23,18.06,1.48,11.06
11.58,21.31,20.76,23.69,1.54,10.21
12.65,30.67,26.74,23.97,1.32,12.74
10.44,32.4,25.96,23.03,1.11,8.91
4.78,23.58,16.52,21.37,0.76,10.9
2.56,17.56,11.42,22.66,0.62,11.29
3.85,20.86,14.32,19.44,0.78,8.91
2.6,18.65,11.86,24.14,0.66,9.58
7.18,27.31,20.52,19.1,1.56,9.59
3.73,16.1,11.69,18.14,1.34,10.48
