NO,NO2,NOx,NH3,CO,SO2
31.87,29.16,14.41,45.28,0.33,9.36
67.91,30.14,23.78,55.52,0.37,14.64
41.91,30,15.25,44.61,0.33,14.31
48.82,58.53,40.14,51.88,1.02,23.09
48.01,57.08,49.91,42.92,1.36,17.44
66.01,63.15,55.52,44.57,1.05,27.42
55.94,53.51,53.32,50.7,1.18,22.15
56.28,54.76,47.28,48.79,1.06,36.85
42.71,50.13,49.3,50.8,1.46,20.55
54.57,55.88,31.89,45.72,0.93,24.42
89.4,64.25,63.05,48.44,1.45,27.79
72.71,81.33,87.22,53.82,1.51,23.19
56.81,80.62,57.55,55.14,1.01,23.77
56.9,90.56,63.21,61.45,1.15,24.12
26.14,65.44,52.4,48.68,0.98,21.24
35.39,84.45,60.5,51.2,0.9,27.88
28.91,60.61,57.94,50.6,1.16,25.08
41.29,69.51,64.94,52.67,1.47,23.68
65.55,53.08,75.68,64.28,1.84,19.36
29.65,46.83,43.9,47.36,1.13,16.01
26.09,47.7,56.86,49.88,1.4,17.19
45.29,46.49,60.96,53.2,1.31,15.29
45.11,47.28,74.75,52.75,1.83,18.87
65.25,60.56,97.76,61.8,2.33,19.55
64.5,57.27,96,65.81,1.94,18.74
51.67,65.17,103.77,91.87,2.37,15.29
55.83,77.51,104.65,82.96,2.74,20.46
54.71,81.67,104.52,74.84,2.37,15.68
55.07,80.73,109.98,84.1,2.45,17.84
78.16,78.61,117.92,90.64,2.32,17.8
66.78,70.1,104.82,73.63,2.44,13.94
65.36,65.77,105.48,73.85,2.33,15.58
34.12,56.46,75.36,55.71,1.74,13.67
36.7,57.85,79.14,48.83,1.64,19.24
38.61,53.86,82.34,50.06,1.55,22.89
32.01,47.38,70.95,45.56,1.51,16.32
20.23,43.91,50.62,38.55,1.16,13.3
19.58,45.6,55.24,34.83,1.2,15.12
24.44,52.73,64.19,36.28,1.3,13.7
32.84,54.75,75.18,40.58,1.52,15.02
30.75,54.64,74.09,40.37,1.51,18.13
34.73,55.04,70.15,40.03,1.55,18.32
44.24,64.15,82.97,44.62,1.65,19.2
45.12,76.48,88,47.81,1.74,17.95
77.85,67.6,101.44,63.81,1.97,21.01
45.64,68.93,87.3,52.5,1.64,18.95
61.44,62.53,93.71,60.94,1.76,19.39
109.88,75.37,132.94,83.31,2.31,20.1
71.11,57.73,108.26,77.53,2.11,16.83
61.21,56.83,94.55,65.47,1.83,17.59
80.33,65.66,102.69,92.4,2.1,20.17
67.41,65.83,99.76,85.25,2.28,19.92
74.66,65.49,101.07,90.28,2.49,20.17
61.13,64.61,104.85,71.16,2.41,18.29
23.19,51.02,68.08,45.92,1.65,20.88
24.67,45.83,39.33,36.04,1.49,18.17
23.86,53.85,3.63,41.49,1.56,21.69
60.14,70.14,9.06,57.73,1.77,24.22
102,83.94,16.38,77.11,2.18,25.97
97.35,71.25,13.13,86.87,2.28,24.39
22.41,45.94,3.04,50.54,1.51,11.71
20.14,40.27,2.59,48.27,1.34,10.81
19.4,36.59,2.33,46.26,1.31,11.18
20.33,34.73,3.26,42.56,1.28,9.69
17.77,29.84,2.87,39.74,1.06,4.98
17.4,37.37,2.44,35.36,1.2,12.68
20.4,45.8,2.15,45.71,1.28,16.97
35.44,54.84,4.37,56.27,1.48,23.03
44.05,66.41,5.96,78.25,1.91,25
32.3,61.63,3.57,72.97,1.45,22.54
22.11,50.73,2.69,55.36,1.17,20.47
31.51,50.97,3.61,51.89,1.54,19.95
79.8,66.65,9.75,73.83,1.74,23.73
61.55,58.92,7.06,68.61,1.68,23.76
46.41,57.6,6.18,62.83,1.57,22.1
58.71,65.61,9.76,71.71,1.69,23.17
80.57,70.25,11.62,79.07,1.86,25.51
70.6,59.7,10.69,68.22,1.7,25.54
69.31,60.4,15.32,75.04,1.96,21.01
83.77,66.97,23.13,83.55,1.95,17.97
62.76,63.92,11.79,73.16,1.8,18.58
31.26,53.73,4.26,55.61,1.52,12.43
37.98,52.24,2.87,50.81,1.29,10.28
35.56,61.57,4.24,55.17,1.36,14.42
38.73,54.8,4.57,51.36,1.38,13.2
65.27,59.12,8.53,63.78,1.59,18.15
26.49,47.02,4.99,50.09,1.3,16.27
37.51,51.6,5.28,47.52,1.33,17.15
62.59,66.19,10.36,58.65,1.54,21.82
34.44,60.21,3.98,48.38,1.4,18.98
30.06,63.57,3.47,47.42,1.47,17.4
40.02,65.3,3.73,55.07,1.56,24.03
68.69,61.28,3.2,75.88,2.12,24.28
36.32,54.37,1.87,55.35,1.72,22.47
32.47,52.51,2.15,54.6,1.42,19.12
31.78,46.86,3.92,43.23,1.36,19.06
44.3,47.86,34.61,52.37,1.61,14.48
48.32,55.08,85.75,59.73,2.04,21.02
41.26,49.45,81.11,63.31,1.82,22.27
21.5,38.87,53.34,66.51,1.31,14.45
33.93,44.09,63.87,63.25,1.51,16.91
54.86,56.45,72.5,63.15,1.87,21.64
25.98,47.26,67.65,51.07,1.43,14.25
25.05,35.33,56.27,43.08,1.32,11.9
24.28,40.13,48.6,40.74,1.37,6.84
28.91,38.17,57.6,44.28,1.43,7.99
34.29,45.14,60.99,46.22,1.4,7.94
41.85,47.6,73.57,45.66,1.85,10.26
45.81,54.51,74.45,44.78,1.96,12.61
23.71,47.59,51.3,38.68,2,14.47
22.07,45.46,48.06,39.32,2.52,11.35
38.37,63.88,67.65,46.95,1.62,18.67
34.69,54.28,71.59,52.36,1.49,12.25
27.97,51.46,64.81,46.26,1.29,14.2
22.5,46.74,56.52,45.13,1.3,13.2
42.64,63.42,78.45,45.41,1.33,14.77
28.45,56.51,67.62,44.96,1.21,14.94
26.04,54.53,55.33,43.31,1.18,14.58
66.23,74.83,86.77,47.89,1.75,13.8
56.38,74.5,84.22,49.6,1.7,14.35
71.59,99.06,86.85,47.52,2.55,13.77
57.19,62.4,82.24,51.43,1.56,14.45
16.51,33.08,42.62,46.64,0.97,8.58
37.45,46.48,72.84,50.89,1.21,10.25
16.31,34.92,44.75,40.88,0.96,9.03
16.78,38.54,47.11,44.48,1.03,11.47
24.78,48.33,60.03,49.81,1.21,12.49
24.55,49.9,60.9,49.73,1.27,15.01
35.15,50.94,67.43,45.32,1.36,12.17
68.88,71.76,88.37,46.22,1.96,15.25
56.44,68.29,87.59,49.25,1.89,14.53
72.82,92.54,94.31,49.47,2.42,13.97
59.65,66.4,90.58,55.72,1.8,15.89
59.63,70.77,92.54,59.64,1.81,16.26
47.09,62.66,80.95,62.61,1.52,15.09
25,42.88,59.15,50.57,1,14.34
14.44,33.59,43.27,41.83,0.88,9.64
24.54,43.12,56.44,43.85,1.15,10.72
42.48,52.5,78.41,53.64,1.47,14.52
45.93,51.74,79.9,49.29,1.43,14.9
46.05,50.64,78.23,48.86,1.64,11.52
26.84,41.07,59.03,44.26,1.18,12.93
25.27,39.02,56.08,39.35,0.99,12.95
24.87,39.58,56.62,38.32,0.99,12.7
15.1,37.92,44.67,34.56,0.94,12.99
25.71,45.6,54.4,36.46,1.11,13.23
60.76,79.5,82.26,43.35,1.84,16.98
45.51,65.86,75.45,46.02,1.64,18.68
16.27,39.85,47.05,39.35,0.95,14.8
23.14,41.81,55.86,39.62,1.08,15.41
28.38,45.32,65.27,42.8,1.18,17.48
41.54,56.5,73.67,42.23,1.54,17.22
60.02,64.82,87.49,40.47,1.63,17.39
36.34,48.86,66.89,43.23,1.23,16.08
27.56,41.48,62.19,42.2,1.09,16.61
21.81,32.61,44.69,33.72,1.09,13.63
18.88,31.72,41.03,30.32,1.2,17.22
28.38,43.85,62.83,37.7,1.1,16.95
44.27,55.71,82.08,44.26,1.42,20.52
30.35,45.33,66.03,49.85,1.36,24.36
13.53,33.49,41.53,42.95,1,17.14
14.86,34.53,42.49,34.91,0.89,12.75
15.2,37.32,44.39,35.84,0.91,14.56
11.77,34.66,41.31,37.35,0.96,15.57
19.04,41.2,51.42,36.49,1.06,16.28
42.38,60.75,76,37.92,1.52,18.5
55.87,71.04,79.52,37.48,1.74,16.27
17.1,41.56,49.23,37.18,1.01,16.53
21.45,45.84,58.22,37.57,1.11,15.95
25.6,44.76,57.92,42.4,1.17,16.59
15.98,37.97,46.42,37.86,1.01,14.13
26.07,48.52,64.03,43.29,1.22,16.54
27.42,51.63,66.35,45.56,1.28,17.36
32.79,52.51,69.5,50.48,1.44,16.58
43.18,60.24,76.02,49.53,1.76,19.67
25.66,44.92,62.14,43.35,1.42,19.96
18.92,36.94,50.39,42.48,1.12,10.48
13.22,34.29,41.32,44.48,1.09,10.5
24.07,39.45,53.81,44.12,1.35,10.77
35.24,45.16,65.04,52.07,1.57,12.65
16.25,32.33,41.68,39.88,0.99,11.21
20.89,40.94,49.98,33.55,1.3,10.07
34.37,54.68,64.81,36.1,1.78,13.37
42.69,59.41,73.26,39.49,2.12,15.77
49,67.79,75.59,40.66,2.26,17.56
51.52,76.17,79.53,46.53,2.51,21.02
35.67,57.84,69.28,39.2,1.56,13.57
16.91,40.44,46.57,33.33,1.04,13.29
27.08,51.78,62.47,35.35,1.19,16.76
20.62,40.56,49.75,36.14,0.91,15.55
9.64,30.99,35.73,31.94,0.89,12.08
9.34,31.63,35.38,29.3,0.85,16.92
17.48,39.43,43.95,27.09,1.03,12.89
27.8,57.07,61.05,32.19,1.28,17.01
46.07,82.47,77.25,31.94,2.02,15.1
44.46,78.5,78.44,41.32,2.09,17.89
22.69,49.86,54.16,51.03,1.41,12.96
11.33,36.11,41.23,44.78,1.14,12.38
13.32,42.57,48.22,47.69,1.26,16.1
21.81,46.42,58.38,49.72,1.12,11.9
11.11,33.37,41.04,44.37,0.81,8.8
14.43,34.14,42.86,37.69,1.02,7.65
15.63,31.77,40.96,38.01,1.23,9.52
11.61,30.44,37.96,38.61,1.17,9.06
23.26,46.75,55.93,44.85,1.74,11.85
42.39,53.69,71.2,44.57,2.05,14.61
42.33,54.75,76.02,45.99,2.2,16.31
10.01,27.66,32.84,27.14,1.31,6.97
19.68,46.09,56.74,43.68,1.46,12.35
28.94,52.15,68.21,53.84,2.41,12.02
35.51,65.41,75.54,51.67,2.73,16.58
45.32,74.13,88.45,65.63,3.2,17.75
17.22,31.22,44.1,59.34,2.1,11.48
13.4,40.3,41.85,46.61,2.05,11.3
13.34,39.81,43.92,49.62,1.91,11.9
16.47,41.79,45.65,43.11,1.11,9.25
17.3,44.14,44.55,45.08,0.85,13.61
27.74,53.88,63.16,54.12,1.07,13.97
49.67,65.52,81.75,55.99,1.46,12.48
20.35,45.88,50.04,45.4,1.08,12.65
14.16,42.68,48.33,41.07,0.91,12.73
28.41,59.07,60.5,40.31,1.17,15.56
53.83,77.28,86.18,46.95,1.66,17.57
37.09,57.51,67.13,51.03,1.34,17.78
42.75,59.34,63.04,36.45,1.31,12.73
41.7,64.88,61.71,37.33,1.47,14.9
31.92,58.31,57.05,35.05,1.1,11.59
29.36,54.01,57.51,48.36,1.33,15.54
41.22,60.34,66.84,51.9,1.4,11.93
13.19,33.21,42.64,54.38,0.95,8.58
14.54,40.76,44.17,50.49,1,9.71
8.65,30.14,33.87,48.38,0.81,8.24
12.65,29.28,35.13,41.24,0.98,9.08
16.93,31.51,43.09,43.82,0.84,7.79
14.32,30.68,38.57,49.08,0.81,8.14
9.58,27.67,32.62,43.21,0.82,7.51
8.99,31.11,33.05,39.58,0.88,9.34
10.21,33.8,37.99,40.17,0.96,10.1
9.8,31.27,36.1,46.72,0.95,7.75
10.94,27.39,36.36,40.4,0.9,6.41
16.94,34.23,38.52,49.24,0.93,7.35
11.9,34.85,35.75,48.15,0.9,6.94
11.06,31.72,34.01,40.05,0.87,8.73
11.58,25.75,30.62,32.58,0.77,6.91
11.75,25.37,29.01,27.3,0.72,7.22
12.05,24.61,29.31,26.27,0.7,7.31
10.15,25,29.76,28.12,0.68,7.29
8.45,22.78,27.88,27.53,0.68,6.18
11.44,26.68,31.17,33.27,0.77,7.71
10.85,26.52,29.02,31.25,0.68,6.5
13.82,33.71,37.25,36.03,0.77,10.05
11.17,34.82,35.93,38.44,0.75,9.73
23.62,45.06,53.22,44.46,0.99,12.38
17.78,44.23,49.29,44.27,0.96,11.68
10.39,34.98,37.1,34.64,0.77,13.73
10.81,34.92,31.12,32.64,0.74,12.17
8.89,34.16,26.14,35.67,0.72,13.16
9.03,31,25.96,44.57,0.84,10.43
8.68,29.01,23.9,44.84,0.76,8.48
10.99,30.43,26.78,42.44,0.87,9.36
10.42,32.89,28.23,40.71,0.91,9.55
10.82,28.46,26.45,44.47,0.78,8.53
7.87,25.74,22.61,36.17,0.65,8.82
11.74,37.27,32.19,38.7,0.86,10.11
8.01,31.17,25.67,37,0.78,10.14
13.52,38.05,33.66,38.45,0.95,11.14
16.15,36.71,35.28,48.7,0.94,10.27
8.99,34.43,28.17,51.84,0.9,10.4
14.86,39.85,35.86,57.11,0.98,11.6
9.06,35.14,28.69,55.38,0.93,11
7.74,28.19,24.09,47.18,0.81,10.92
8.76,31.82,26.63,39.31,0.84,11.26
10.21,34.22,28.48,35.01,0.76,10.92
12.27,31.94,29.09,33.49,0.88,10.69
13.24,31.63,31.3,34.11,0.84,11.13
8.28,28.9,25.51,32.08,0.78,10.64
13.87,33.31,32.44,36.19,0.96,9.51
11.89,30.73,28.81,41.85,0.87,10.2
12.45,29.45,28.39,46.23,0.82,11.04
10.58,27.41,25.71,41.74,0.8,11.14
12.22,33.46,30.45,38.54,0.89,10.4
17.99,36.48,37.03,43.54,0.97,11.2
12.14,27.55,27.12,37.26,0.83,9.85
14.28,28.74,29.43,39.3,0.81,10.43
12.18,29.15,26.72,40.08,0.83,10.78
15.59,27.58,28.48,39.46,0.81,9.99
16.81,25.1,28.9,38.33,0.89,9.27
14.04,23.41,25.77,33.02,0.91,9.13
13.43,21.59,24.43,29.08,0.73,9.55
18.34,25.02,30.46,36.7,0.74,9.37
15.98,25.06,28.28,42.39,0.8,8.96
15.59,28.84,30.1,41.94,0.91,9.12
19.92,26.14,32.34,38.58,0.94,9.71
20.56,25.2,32.61,36.33,0.86,10.22
19.1,26.08,31.73,34.43,0.78,9.48
19.25,28.77,32.96,33.4,0.76,9.61
17.71,24.82,29.73,33.84,0.71,9.86
19.28,26.59,32.23,45.36,0.9,9.4
18.64,26.15,31.04,40.11,0.98,10.65
19.04,25.24,30.33,38.57,1.02,9.47
17.18,24.98,29.1,38.58,0.89,9.85
27.59,34.82,42.63,40.95,1.11,9.66
18.61,24.06,28.8,36.5,0.7,8.84
14.86,23.5,25.93,30.55,0.66,9.09
16.15,25.04,28.15,34.65,0.84,9.26
14.03,29.49,30.34,39.38,1.09,9.86
9.88,23.72,22.86,37.96,0.84,8.85
18.67,29.32,33.72,40.19,1.21,10.43
18.25,24.58,30.72,37.68,0.98,9.26
12.87,26.17,26.14,32.83,0.88,10.05
18.92,31.85,33.12,31.46,1.07,11.4
23.17,32.54,37.99,38.4,1.18,10.88
11.76,27.85,26.25,32.36,1.02,11.99
14.93,28.18,28.73,28.58,0.9,11.43
15.41,24.72,27.95,32.42,0.82,10.82
17.54,24.6,29.81,28.45,0.8,10.4
14.99,22.78,26.16,25.87,0.68,10.9
9.89,19.92,20.16,24.13,0.6,10.31
10.67,23.6,23.07,26.04,0.78,10.82
14.65,25.52,27.65,27.99,0.85,10.84
15.31,26.12,27.86,29.36,0.9,10.23
21.4,28.28,34.45,29.82,0.95,9.97
13.54,25.96,26.93,28.79,0.82,9.67
19.47,28.51,31.54,31.04,1.02,10.53
20.91,23.44,29.51,31.34,0.87,9.81
17.6,27.63,30,30.05,1.06,9.96
34.09,35.94,49.8,32.41,1.29,10.8
21.85,30.63,37.55,29.56,1.04,9.62
28.45,30.88,43.56,30.78,0.96,10.13
30.95,37.91,49.1,32.06,1.1,10.75
17.48,26.65,31.93,28.17,0.84,11.38
10.53,23.58,24.12,24.71,0.72,10.98
15.56,29.61,30.96,24.26,0.88,11.21
19,26,32,23.37,0.78,9.77
17.17,24.4,29.28,22.38,0.71,10.31
19.96,23.21,30.78,20.34,0.63,11.24
20.52,25.18,32.01,19.9,0.7,11.21
26.65,27.72,37.7,22.31,0.8,11.74
21.14,25.92,31.12,24.13,0.72,11.14
22.25,29.15,33.99,25.37,0.78,11.12
15,29.8,28.63,24.13,0.75,11.95
26.29,37.36,40.98,26.44,0.89,13.43
28.51,38.16,42.01,29.96,0.98,14.41
11.6,26.7,24.32,28.6,0.75,12.74
10.07,21.72,19.92,23.58,0.73,11.11
7.37,19.88,16.84,22.73,0.67,11.59
14.91,25.07,25.46,22.73,0.74,11.08
20.54,25.67,30.35,22.28,0.81,10.88
31.86,32.38,42.65,24.2,1.03,11.59
66.23,37.42,73.58,30.7,1.5,12.78
86.96,44.68,93.15,35.57,1.78,12.98
61.52,46.15,74.55,37.78,1.57,13.08
20.83,34.52,35.4,31.15,1,12.38
30.83,40.86,47.61,31.58,1.13,12.7
31.9,36.68,46.51,35.08,1.11,12.25
39.9,42.57,56.37,31.83,1.13,13.36
40.37,48.01,59.34,37.79,1.34,14.42
65.84,53.69,83.28,42.52,1.62,17.27
44.04,44.71,61.88,36.24,1.23,13.42
39.4,44.81,57.51,35.47,1.25,14.33
37.87,56.21,63,36.86,1.51,16.13
31.79,54.24,56.31,37.85,1.59,19.67
23.75,47.73,45.93,39.4,1.51,16.55
14.93,37.74,33.12,33.16,1.02,14.54
29.52,44.48,47.82,25.13,1.13,16.06
54.11,49.89,68.66,33.8,1.41,17.91
36.38,47.34,53.99,30.33,1.3,16.07
50.19,55.44,68.24,33.54,1.61,17.96
84.92,64.18,100.51,43.63,2.2,19.19
67.3,52.81,81.62,42.22,1.93,17.13
100.87,57.64,112.6,48.05,2.47,18.46
40.85,54.31,61.47,41.31,1.66,18.35
37.49,54.04,59.64,37.9,1.55,19.82
49.17,55.77,71.3,38.07,1.52,20.59
49.3,55.49,71.09,36.59,1.55,17.74
65.36,63.32,87.65,35,1.84,19.49
103.62,77.72,129.52,44.37,2.52,20.95
97.53,72.23,120.26,45.37,2.35,22.51
114.02,74.04,133.52,48.25,2.72,20.76
123.46,77.3,143.02,52.18,3.14,19.9
81.11,57.66,100.04,47.85,2.45,15.62
84.12,62.22,104.22,48.43,2.67,16.66
98.5,70.46,119.07,52.74,2.9,17.62
99.9,68.02,122.87,55.85,2.91,18.11
106.68,71.63,133.14,58.01,2.97,20.12
57.41,65.98,86.56,51.21,1.99,19.65
21.22,47.39,45.59,48.63,1.43,17.1
14.18,34.18,30.79,36.62,1,15.01
26.22,48.25,48.8,44.82,1.88,14.63
23.48,43.78,44.84,31.18,1.29,15.37
30.57,45.14,52.43,30.5,1.44,19.39
89.1,64.57,106.68,44.2,2.45,26.52
89.45,68.25,109.68,49.84,2.65,17.41
99.32,79.5,127.11,55.35,3.01,18.01
91.92,70.55,113.81,55.03,2.89,16.2
75.93,71.88,101.5,58.85,2.85,17.4
85.28,74.72,111.18,62.24,2.74,18.72
41.75,59.36,67.48,53,1.68,16.02
29.85,47.83,51.99,49.76,1.29,15.03
19.55,42.41,41.05,41.19,1.24,14.2
38.85,51.93,61.7,40.93,1.6,14.37
68.53,61.82,92.64,44.39,2,16.29
18.31,56.73,47.93,48.41,1.56,16.32
53.4,63.96,80.38,54.51,2.04,16.11
54.16,63.79,81.87,46.84,1.79,14.22
91.36,74.93,120.74,42.27,2.09,16.89
77.16,61.06,102.45,45.84,2.04,16.39
26.91,46.57,50.88,36.97,1.34,15.12
59.31,58.16,84.38,39.78,1.72,16.56
94.45,68.3,120.55,47.15,2.43,20.11
152,78.94,176.98,53.89,3.32,18.31
120.37,69.6,146.11,53.87,2.85,15.96
101.42,63.68,124.27,51.41,2.52,12.76
62.12,56.74,86.03,46.35,1.96,13.69
68.71,56.43,90.73,42.49,1.91,14.4
131.08,67.18,152.89,45.3,2.77,16.62
120.66,66.91,144.74,47.02,2.74,16.52
140.77,74.17,169.75,51.21,3.17,16.28
121.66,65.87,142.92,49.26,2.59,15.89
136.49,71.73,156.61,52.53,3.04,16.49
85.29,54.83,105.05,49.16,2.09,14.11
85.16,59.06,107.05,49.42,2.2,15.47
103.19,65.3,127.78,50.23,2.67,18.08
89.36,66.58,121.45,55.63,2.75,16.74
93.61,68.87,124.9,58.67,2.78,15.49
56.21,55.1,80.05,51.27,1.95,14.64
35.89,42.59,56.05,40.31,1.21,13.07
39.15,45.22,60.27,42.01,1.22,12.5
30.33,47.31,53.33,41.97,1.22,13.34
42.76,50.86,65.32,45.92,1.42,15.76
70.9,58.08,94.61,50.27,1.93,16.14
55.86,61.34,82.18,51.04,1.78,17.76
61.91,63.77,89.2,48.82,1.92,17.41
114.21,68.97,139.08,54.66,2.64,17.68
74.98,66.03,103.06,57.91,2.22,15.9
85.55,78.71,117.64,60.21,2.59,18.47
112.95,77.63,145.67,67.29,3.36,18.21
123.73,75.26,152.77,65.75,3.36,17.86
45.37,61.2,74.6,57.34,1.9,14.14
59.69,65.2,89.51,50.38,1.99,15.37
110.91,78.43,143.91,56.6,2.87,18.03
39.19,60.59,68.5,55.46,1.66,14.8
74.28,64.97,102,51.53,1.96,16.49
127.84,76.89,157.78,57.55,2.94,19.91
105.28,70.54,133.87,56,2.7,17.38
92.04,69.46,121.07,56.66,2.54,17.77
101.08,75.06,133.85,63.63,2.78,18.27
77.92,66.2,106.99,61.02,2.55,15.12
47.83,57.53,74.39,53.09,2.01,13.22
64.97,60.35,90.67,56.49,2.23,15.59
28.3,51.94,54.18,55.71,1.49,13.65
49,52.45,72.14,56.06,1.57,15.49
31.32,48.95,54.76,49.69,1.31,14.67
26.14,49.49,50.88,43.53,1.3,15.09
54.31,58.22,80.36,44.67,1.75,16.81
118.55,76.71,151.4,56.53,2.9,20.03
117.23,85.14,148.93,63.46,3.11,17.81
64.96,66.11,94.9,63.66,2.36,17.83
18.5,42.16,40.87,40.52,1.04,15.05
36.34,52.45,61.72,39.74,1.37,17.09
108.12,83.75,142.71,55.19,2.58,20.35
108.96,84.74,147.7,60.95,3.13,19.63
56.97,68.58,88.33,48.6,2.06,14.7
100.7,77.9,133.24,50.3,2.35,18.07
158.63,106.04,195.81,62.37,3.66,20.98
58.34,63.04,85.11,57.52,1.83,16.82
14.1,38.56,34.22,39.73,1.01,11.87
55.53,48.14,76.5,42.37,1.62,14.17
37.42,44.11,58.86,41.06,1.44,15.29
16.96,40.03,38.45,34.17,1.01,14.62
15.3,38.43,35.94,33.64,0.98,14.48
19.78,45.27,42.16,35.34,1.1,15.89
22.97,49.13,46.7,34.49,1.06,15.76
33.51,51.47,58.67,36.19,1.24,18.56
61.02,63.7,89.54,42.99,1.76,24.75
72.47,65.7,101.46,49.6,1.9,20.48
23.24,50.75,48.72,49.42,1.34,17.83
17.57,35.89,35.82,43.55,1.24,11.55
20.77,34.53,37.93,40.43,1.32,11.7
53.8,52.85,76.95,39.88,1.81,14.06
122.8,75.89,153.6,53.81,2.95,22.38
39.1,50.55,62.85,53.76,1.64,15.59
12.05,30.8,27.94,37.84,0.84,11.12
31.23,39.24,49.45,29.11,0.94,12.66
22.67,38.31,41.45,28.42,0.96,13.25
47.91,49.26,69.38,33.83,1.36,16.41
72.35,58.56,95.55,39.17,1.78,17.52
74.17,66.37,101.01,46.24,2.09,19.93
65.24,70.04,96.09,47.95,1.94,18.61
27.78,53.15,54.06,45.64,1.42,14.53
25.13,44.28,45.94,39.19,1.22,15.38
17.27,33.33,33.34,35.16,1.13,12.92
23.24,42.59,41.77,31.82,1.09,15.14
32.98,56.12,56.8,33.82,1.18,16.78
40.67,55.44,65.95,41.33,1.56,15.93
38.46,51.88,63.41,41.41,1.4,17.16
46.44,47.15,67.04,38.24,1.37,20.1
25.55,33.95,41.61,39.11,1.07,13.94
11.62,36.12,30.5,26.26,0.85,15.66
19.34,46.26,42.89,29.95,1.03,18.99
35.85,53.86,62,34.51,1.24,18.07
24.36,50.31,48.45,32.19,0.95,16.88
14.25,35.07,33.41,26.57,0.79,12.52
40.92,45.02,60.89,31.23,1.25,16.98
37.55,48.87,60.61,30.2,1.17,15.81
40.68,62.05,70.66,36.48,1.36,17.96
20.21,40.61,41.09,30.98,1.16,13.48
49.62,40.1,67.55,37.26,1.54,14.75
18.77,40.05,37.94,28.71,1.01,14.26
32.02,45.3,53.83,29.05,1.25,15.16
55.04,51.9,78.33,32.79,1.48,16.39
38.94,51.75,63.98,32.86,1.27,17.44
20.1,40.84,41.64,30.68,0.99,17.3
20.28,44.17,43.2,27.17,0.96,16.36
27.71,52.91,53.94,30.69,1.24,18.44
14.64,37.45,34.98,29.97,0.93,13.82
31,57.03,59.86,32.39,1.27,22.48
45.43,48.81,69.01,39.07,1.36,17.54
30.36,41.27,50.74,32.74,1,16.21
15.28,40.6,37.43,27.95,0.92,15.72
26.28,46.88,50.26,30.56,1.07,19.96
30.43,50.33,56.61,32.06,1.19,20.36
43.9,55.47,71.06,33.86,1.29,20.72
37.34,54.67,64.3,36.5,1.35,21.42
20.46,34.63,37.11,39.26,1.34,19.99
13.54,32.19,28.73,27.85,0.74,16.06
8.76,34.57,27.32,26.54,0.89,17.52
12.55,34.25,30.81,27.52,0.82,19.06
11.9,34.84,30.48,30.32,0.93,20.19
16.61,40.8,37.75,29.95,1.04,19.26
26.56,49.68,50.71,29.54,1.22,20.35
55.47,60.18,81.85,34.47,1.76,24.86
62.67,60.4,89.35,40.53,1.8,19.52
38.68,53.75,64.31,41.4,1.51,22.39
15.14,38.42,35.27,32.06,0.94,18.9
11.3,38.55,32.02,27.21,0.88,20.09
29.38,55.76,57.47,29.3,1.19,24.4
30.83,54.91,58.01,30.85,1.32,21.6
53.23,63.62,81.06,37.04,1.8,29.11
61.96,64.7,90.76,41.23,1.96,28.67
29.62,48.72,53.28,37.35,1.32,23.23
31.7,44.64,52.96,52.01,1.49,21.35
24.07,45.87,47.31,41,1.06,15.1
33.85,53.88,60.44,38.26,1.44,22.03
55.11,56.82,80.11,40.97,1.76,20.84
29.03,47.54,53.99,34.96,1.21,21.51
19.27,40.09,40.63,34.06,1.12,19.48
15.35,37.89,35.19,33.66,1.06,20.82
15.19,36.61,34.28,29.84,1.02,20.65
29.69,41.92,50.81,29.21,1.28,22.2
17.1,35.01,35.08,30.98,1.1,12.59
9.73,26.84,23.56,26.7,0.9,11.1
15.97,39.07,35.02,26.28,1.01,15.05
26.94,47.56,49.15,29.85,1.24,21.22
30.3,55.28,56.28,29.35,1.42,26.03
44.24,58.95,69.32,31.53,1.66,22.16
48.31,61.72,74.42,36.99,1.87,29.31
56.94,63.45,83.46,38.2,1.92,25.76
12.55,51.58,39.67,37.64,1.41,19.17
9.48,39.89,30.31,40.86,1.31,17.67
30.38,50.69,52.86,32.2,1.34,26.12
15.19,39.8,34.4,28.15,1.05,21.85
17.66,40.9,35.31,25.63,1.06,20.02
33.17,52.04,53.91,27.82,1.33,23.71
32.91,59.32,57.61,31.91,1.62,26.58
35.18,63.15,58.94,36.73,1.61,27.67
20.46,43.19,36.46,36.44,1.19,18.26
25.52,49.82,43.92,32.34,1.09,17.91
38.81,59.78,54.6,30.39,1.26,18.19
39.94,55.16,57.99,22.41,1.51,21.93
62.99,70.81,84.3,31.51,1.93,23.72
79.63,69.77,103.77,35.25,1.98,22.77
77.12,60.85,100.34,35.57,2,25.84
34.13,51.13,57.35,30.33,1.52,23.46
16,38.05,34.62,25.68,1.03,17.6
14.21,42.02,35.69,30.12,1.15,21.6
12.49,40.68,33.4,29.53,1.22,19.36
19.85,50.88,44.98,36.48,1.51,33.5
11.9,37.53,30.36,33.9,1.02,13.4
31.89,57.75,59.46,43.8,1.52,20.93
26.79,50.99,51.51,44.72,1.38,15.36
33.84,45.67,54.56,41.4,1.31,13.26
11.87,33.79,29.15,39.74,1.04,10.93
17.04,45.8,40.46,35.4,1.21,17.36
34.09,56.55,61.22,35.13,1.35,19.81
